HASH,num partitions,bug references,message
ad10cf8f7472a0b0aec2fe2db3e97bd38a5cc444,2,"2462, 3564","Issue number:  3462, 3564Change to keep multiplicity selections as strings and create new Multiplicity value each time one is needed."
fa3d01770946bf7f4a386d8f7ae37c51bf924c25,,,Fix to cure issue 745. Also some tidying up of code layout/JavaDocs done while researching the solution.
f4d58054d5849fad41b58236a2f8a456397df607,2,"598, 2475","Created a seperate file for the Goto Diagram Dialog, analoguous to the FindDialog, in preparation of solving issue 598, and maybe issue 2475.In preparation of extending the GoToDiagram command to allow goto other things, I named it GotoDialog, instead of GotoDiagramDialog."
a9f141138c5e01f9f1ff433adbf9ac1bf49bb495,,,"Issue 1113: Introduced Project-scope for Notation settings, i.e. that the settings are saved in the zargo.Introduced the ProjectSettings class.Added a ""Properties"" menuitem to the file menu, which opens a new dialog, with 2 tabs.Allow setting a description and author name for the project.Still some work to do for notation language selecting."
e9c27fc59e2075b6ed6eb27f73d9703f01d13d4f,,,issue 400 (many improvements; stable but not everything works)
9bf6ffa03e4acedfed3a9bbbd4cc0f75d3ccd294,2,"480, 488","part of change for critic ""mutliple aggregate roles"" in issues 480 and 488.Changed creation of button group to call new constructor with default setting."
d50f6ac70fad0ef19ce52aad37eddb3deeb025c8,2,"480, 488","part of change for critic ""mutliple aggregate roles"" in issues 480 and 488.added line to set the visibility to public for above problem...Phil"
c53177f3a675827bad4e1d8dd7970b7bda874e0c,2,"480, 488","part of change for critic ""mutliple aggregate roles"" in issues 480 and 488.added new constructor to allow the default setting of a radio button in the group..Phil"
67456b22deaab9bc24d252f08c89f9b1b165263c,2,,Moved common parts of the configuration to common file.Issue: 470 (turning of check.idref) implemented.Issue: 583 (setting toc.section.depth to 2) implemented.
4cf9712be15fa0137b200a0fb6fc32914bae3a6b,,,"New draft of the user manual published for review.Updated to reflect bug fix to provision of attributes with interfaces andimprovement to Remove from Diagram function. Chapters 10 and 11written. Critics broken out into new chapter 13 and each given their ownsection and reference id. Comments from Linus Tolke on chapters 7 and 8adopted.Chapter 1 (introduction), tutorial chapter 2 (UML based &ooad;) and referencechapters 7 (user interface), 8 (navigation pane), 9 (editing pane), 10 (detailspane), 11 (to-do pane), 12 (menu bar), 13 (critics), 14 (top level artifacts),15 (use case diagrams) and 16 (class diagrams) are now largely complete."
f2e54f894ac94777c16b9f515e2639b17e399e09,,,Updates to the header and descriptions of several critics to associated withthe solutions to issues 619 and 650.
760ffa6ab468f609557a6d232cc483f2510d8178,,,Fix for issue #727:- false static flag for constructors- NPE when doing frequent model changes and CG
8af6ae79f80fb6bfc33e37a9de87050cec500057,2,"718, 720","- added stereotype handling and display to nodes and node instances- added classifier to component instances and node instancesIssue number:  718, 720Obtained from:Submitted by:Reviewed by:"
a75dcddd7e43c0a0b1ac94e05a9173b5816decc2,,,Reworked to cure issue 406. JavaDoc added at the same time. Fixed minornotational issue (preceding '/' for a role).
972d1271a93fcad6becf1066065798f9a0655fc5,,,"Issue number:  813Submitted by:  Thierry LachAddresses portions of issue 813, specifically:Changing the name of an attribute on a class.Changing the name of an operation on a class.Changing the name of a diagram.Also, while this does not directly correct ""Creating a new stereotype in a package"",  entering the name on the new stereotype _will_ cause the model to be marked as changed.This does _NOT_ close issue 813."
4cc74ca6aa7281be3aefa458c54c3e4591bd2f5f,2,"845, 858","Issue number:  845, 858Obtained from:Submitted by:  Alex BagehotReviewed by:   Markus, Thomasfixes lockup of ArgoUML when changing classifiers in Sequence and other diagrams."
20e81204bab00c63004ead2a682fffca07fc8235,2,"704, 710","Issue number:  704, 710Obtained from:Submitted by:Reviewed by:added requested stereotypes to AssociationRole and ClassifierRole."
3f75c8e58de95936a5a33a0bd42f4494197567e0,2,"558, 765",Patch for issues 765 and 558 concerning parsing attributes
16435c948edef97d6311f13ac4a2573530df9e88,,,displays the ordering property and the respective association end andalso fixes problems with changing color attribute of the association.Issue number: 641Obtained from:Submitted by:Reviewed by:
9c17a30aa11f2ab684166f2b8e5e2c69bf44f991,,,"Gone through all return null statement (See Issue 972).Changed System.out.println(""not reached"") to throw error(""not reached"")."
803575a9fa08e2f0109108ffba7c61007d915aef,,,Patch to issue 1055.Made the parser take acceptable metaclasses into consideration whenselecting a stereotype. Also made it transfer stereotypes to the model fromthe profile in a proper way.
4943f241f10f59c55c93830ab20b04943654492e,,,Patch to issue 1029.Also made the GUI catch parser exceptions and display a message in thestatus bar.Also added JUnit tests for parseClassifierRole and updated the JavaDocdocumentation of it.
9fad51cea444390d6ec606cfc74e5c4c1326de18,3,"1093, 1095, 1097","Patch for issues 1097, 1095, 1093"
93fbaf8b7f3397b71c5d56a73462f044eafcf73d,,,"Issue 417, 1076Solved an NPE in the FigPackage setEnclosingFig and copied it toFigClass and FigInterface."
a6bf8a0a7cf511ac713b57688a6a614330a41f57,2,"1151, 1152","Patch for issue 1151, 1152"
e1641ee1fdb1260cfeb98188fd4d6d72ddd047cc,2,"1020, 1133",Patch to issue 1020 and 1133. A milestone indeed :)
be01b817c6a87407a15f8f963f34fec3efa9515c,,,"Issue 1223.NPE in setOwner fixed. Also removes the current figure from the previousowner, which seems like a sensible thing to do."
0ccdc5fe23d5acd5433f6aa2798bc59bd1c15d29,2,"932, 1181",partial FIX for issues 932 and 1181: bad association multiplicities
c4e45e9def7d29befc5015a3b25d8917d3e17a5f,3,"1175, 932, 1181",FIX for issue 1175 (always import java.util.*) and partial FIX for issues 932 and 1181
bbfb30a54edae5c90bb6ba52a96f4e69384afad6,2,"1599, 896","fixes forIssue number: 1599, 896"
78c690c5e5e07836f846563302e545facabd2432,,,"associations to java.lang Classes are not possible now, they are modelled by attributes. concludes work on issue 779 & 1613.Issue number: 779"
5e2ed443666a7ccc8e8b3d975da12e4cb864b736,2,"1598, 1650",fixIssue number: 1598 & 1650
790aaf1049adae92ed22bd786c8f67fac83d8315,,,Added the day when we built the javadoc to every javadoc page. Issue 611.Some other changes to the footer.
ec8a95fa44ec431e9e9e7f8b2871b01381d79496,,,Fix for issue 1725. Improved quality of panel code. Improved performance of settarget method.Removed setNamespace in buildOperation. Why do people commit things without checking them first?
1a618212cb5a9265b8b10ed146c3b06e99d4bcb9,,,"-renamed subTreeModels to goRules, avoid confusion.-separated nav and todo specific methods ready for refactoring.-marked some methods to refactor up to a new event support method.Issue number: 1739"
cfa095a02fabdc94d5bb9a2eacf677ff30506c2c,2,"1803, 1804",fix for:Issue number: 1803 & 1804
542dc4c964667eca098f6ba7d2924e9e12324e38,,,Fix for issue 1209 and some targetmanager related issues
fb0658b75aa79a8bfa247545cf275cfbf26155c9,,,fix for duplicate components and related dependencies during repeated Java source file importIssue number: 1822
bb16ec59fd2a9881772fcef88ca570f0fcf56eb6,2,"1887, 1886","Fix for issue 1887, 1886"
8f0cd76cc7abf9d7499d64d716ea321d568e6e29,,,applied same fix to ActionAddExistingEdge and tidied up code and javadocsIssue number: 1922Obtained from:Submitted by:Reviewed by:
292fbdbd1c8302eb9974f7ae32e10b6fc80cd136,3,"2111, 2114, 2121","Updated with information on issues 2111, 2114 and 2121."
b76f03f37a578aff1785757e45877d95d0d35f15,2,,"cleaning the source coderemove the stats feature, which creates alsorts of unnecessary dependencies for a core class like this,more work needs to be done to reduce the dependencies on other classes.Issue number: 2185 2184"
4ed5528a110a90f5fd96e5e2facace3e692593cd,,,Added descriptions on all public targets. Issue: 2123.Removed most of the confusing documentation texts.
9cb0156b0d8a651d6ffe06e8e9753c76106d2bd4,2,"2230, 2229, 2228",Removed the issue links. (Issue 2230)Added state diagrams. (Issue 2229)Added sequence diagrams. (Issue 2228)
1c71cbdf1d73ef8f016d5ab67ab3c298a7240b0d,,,Issue 2061Let objects tag along while they are enclosed. Obviously it turns out that allfigures that we'd like to contain other figures also are subclasses of FigGroup.Also corrected a small condition evaluation glitch.
fc6942797b70a84a554325e349deac37594874b7,2,"2265, 2274","Issue 2265, 2274Removed interfering code. Also excluded operations / attributes whenSHIFT selecting, since that seemed like a good idea."
1739806c188498ccac597f60aa5d211e65ef0bc6,,,"Issue 2402also removed unecessary removeListener calls, the uml model event pump removes listeners anyway before adding them."
1cf7e334d50d99662c7f17419b25527f58e3a3a7,2,"2321, 2322","Issue 2321 & 2322. Removed the View -> Editor Tabs menus.I only removed the menu itself - not any actions linked to it, since I would not know how..."
8f7c1dd9ede7f98ee0586950981f5578ae7119fb,,,Solved some 100 Checkstyle issues. About 36000 more to go...
99e8993677f84e12a020e60b1161dead5d705ea0,,,"Issue 2541. Solved these 2 bugs:If the effect is not a CallAction, then it is reset to a CallAction (case 2).The name and language are reset when the expression is altered (case 2)."
1ce92294a2eac5dbee7eeb7e47ed331f55e9c0b8,3,"2528, 2527, 2578","Fixing issues 2528, 2527 and 2578"
e5ca87299a1d2d2eabf021abba7d816732f13364,,,"- reindent- removed deprecated method calls where feasible- removed radio buttons on pseudo state proppanel- auto update label name for pseudo states in proppanels- encapsulated _titleLabel with setter/getter to gain access to toolbar labelIssue number:  2206, 578Obtained from:Submitted by:Reviewed by:"
6febad7eda067ea98bc20aacfb21fc95a3565087,2,,"- activate selection buttons- reindentIssue number:  519, 547Obtained from:Submitted by:Reviewed by:"
a80b436b58ad3b31e88a908c416cc863eb185ebc,,,Issue 2675. Objects with specialized enclosement handling must be able toaccess put themselves as enclosed.Also added some javadoc on the meaning of _enclosedFigs and _encloser.
6bdc83573e6624210b57b2735d0beab13a078b43,2,2676,"Issues 998, 2676. Exceptions should not be printed on stdout/stderr, theyshould be logged so that we can examine them later."
4815d38bd190bb079be85baf019bc2a40e338893,,,Removed some classes and methods deprecated in 0.15.Fixed some style issues in the same files.
1c8e161a136bc1c4ce5464f9ccd8a0f359f56e35,2,716,Solved issue 691 & issue 716: implemented Junction & Choice states.
f27c2daebfd3b741f60f6ebc5b069bf3e2e9e05d,2,716,Solved issue 691 & issue 716: implemented Junction & Choice states.
a8e9901c9b836e3aa633489901d238b6ffbef891,,,Removed some classes and methods deprecated in 0.16.Fixed some style issues.
f147616f25a4c51ba0b55bd5f299000512a71b0d,,,Removed some classes and methods deprecated in 0.16.Fixed some style issues.
c91f1ed14259da835c428b53b5613ba964cfe00f,,,Removed some classes and methods deprecated in 0.16.Fixed some style issues.
f2f3283cd321fef4e288e63afb46768127d5e4e8,,,Removed some classes and methods deprecated in 0.16.Fixed some style issues.
5644997dba8051371d55b76b2c928177158092c9,,,Removed some classes and methods deprecated in 0.16.Fixed some style issues.
5e2cdc061a0572d4007f4bc84382fff80f29e726,,,Solved issue 2609: ActionState shape was wrong.Style issues.Minimum height increased in case a text is visible.
9c80faf1c36d7ec85585e40338012cabd0d8ec37,,,"Support for SubactivityState, CallState and ObjectFlowState. Issue 2409.Not finished yet - still disabled in argouml/uml/diagram/activity/ui/UMLActivityDiagram.Some PropPanel changes. Fig additions & changes.Style issues."
