hash,numPartitions,bug references,message
91a2ebb43da351803e28d86e9146b76852362304,2,800,Fix for issue #800. Adds getOverridableMethods() to JClassType. See the unit tests as well for the cases that are included/excluded. Also added some dictionary entries to allow JClassType to pass the spellchecker.  Review by: scottb
7a97be9658d8549f7cc7c981856ffec0f2ef59e5,4,"472, 627, 736, 739","Fixes issues #472, #627, #736, #739  Refactor hosted mode code and rewrite Mozilla code to properly handle garbage collection of JavaScript objects held as references within Java objects.  The Mac changes simply adapt the existing Mac code to the new infrastructure, but do not fix the outstanding memory leak problems -- these will be addressed in a future patch.  Also added sample eclipse projects for the Mac and Linux JNI code.  Review by: scottb knorton "
34a022cf7c866c3eacb1da19c68a01d34ea5ae7c,2,774,Fix for issue #774. Deleted several archaic tests that are not relevant anymore. Moved a two tests into user and cleaned them up big time.
e955f6c52154fb9c51335b1d314bba00a9d35ee0,2,785,"This fixes issue #785 and re-enables a disabled test in HostedTest related to hosted mode wrapped Java Objects answering ""toString()"" in JSNI code.  Review by: jat knorton"
0eefc507477395905010d8cd650cebf76c6b63a9,2,"803, 922",Fix for issue #803 and #922; using JavaScript keywords in Java code would crash the compiler with an ICE.  This patch mangles such identifiers by appending an '_$' to the end.  Found by: jason.essington Review by: mmendez 
7ad352a500fb869b933abd52ee99aa220db0a5da,2,"671, 872","Fix for isOrHasChild() null & exception cases. Issues: 671, 872 Patch by: ecc, jat, fredsa, jgw Review by: jgw, ecc "
098d421d4bc8ca1a2e2830148b0a4c50e89bf31a,2,407,"Fixes Issue #407. Safari has been relying on DOMImplStandard to provide toString(Element), which uses DOM restructuring that is only required on Mozilla. This change makes the DOMImpl version of toString rely on outerHTML and moves the DOM restructuring approach into DOMImplMozilla. Also included are the proper confirmations in DOMTest.  Review by: jgw  "
fdcbb527f2bcf1b638781613bb0db385e440e991,2,631,"Fixes Issue #631. Avoid collisions with pre-defined properties in JavaScript objects, either by prepending a "":"" where we have control over accesses to the underlying object, or by using Object.hasOwnProperty for ones that we don't.  Added RPC test for String arrays with values to verify that strings with property names are properly handled.  Patch by: sandymac, jat Review by: knorton, mmendez  "
d01cd5f501eaf91d511cae0fed031ab0dfdd6dc4,2,937,"Fix for issue #937; static initializers must statically initialize super class.  Also includes a fix for a possible ICE in GenerateJavaAST.java when JDT hands us a ThisRef while processing field initializers in an interface.  Review by: mmendez, alex.tkachman  "
f00bfcc75cfc8c4c1bf382aa3c76eae47ef3fa7f,3,,Fixes Issues #74 & #790. Adds Widget.onUnload() and clarifies the correct usage of onDetach(). An assertion has also been added to setParent() to check the value of isAttached() when running in hosted mode.  Patch by: bobv Review by: knorton  
26d69d46ad7fbb01ac5a2cd9a03084f73e9cff51,2,"966,867","Fix for issues #966 and #867; escapes HTML end tags from string literals in compiler output.  Found by: fredsa, dmytro Patch by: tobyr Review by: scottb "
940594c0bdfba1c62e85aa3df37ecf56886e6f69,2,972,Fix for issue #972; removes dependency from RPC server code into gwt-dev. Also removes an unneeded param from TypeInfo.getSourceRepresentation().  Found by: mmendez Review by: mmendez (postmortem) 
