HASH,numPartitions,bug references,message
b87fee1b90fc7a4ff567235e2fc1387d035bbf31,2,"JRUBY-154, JRUBY-158","Fixes JRUBY-154, JRUBY-158 and warns when arguments to blocks differ"
a8583bc4b548ea3f09cf86cc0ce0b77670255f40,2,JRUBY-233,"Fix for JRUBY-233, and also fixes the testSocket.rb-test so we don't get those pesky intermittent test failures from it."
c93e9184ca8e6452719372a5c036cf29bc8ff4c6,3,JRUBY-607,"Fix for JRUBY-607, JRUBY-151 and JRUBY-57, by Bill Dortch"
e45d042829fd6b14368cfa717271bca5a2c7eefe,3,"JRUBY-451, JRUBY-591","JRUBY-451 and JRUBY-591 fixes, plus tests based on the cases given."
bbaef5f98567b93db0210b599d2c698b3293fae1,,,"Miguel's fixes for JRUBY-532, allows test_objectspace to run 100%."
2af7887e1cca6351faebc3c1b714a412c8b18f34,2,"JRUBY-1080, JRUBY-1247",Fix JRUBY-1080 and JRUBY-1247 on trunk
3a84606d084fcabbe6a70f43e44bf411fbbfb8aa,2,"JRUBY-1231, JRUBY-1372","JRUBY-1231, JRUBY-1372: fixes for File.directory? and Regexp.quotemerged from branch"
5d43a13fe3fcc127f0358ef6eed3a4afcca45671,2,JRUBY-1388,"Fix for JRUBY-1388, plus an additional fix where it wasn't scoping constants in the right module."
83f8bbdb95d84a9459ae93d2f5d101fd7156ca46,,,Reverting JRUBY-1482 commit; other stuff snuck in.
9d2f1384b21ce77b19d4a124054ed0027e5e5363,2,JRUB-1658,"Fix the Float coercion errors detailed in JRUBY-1658 and other places. Based on patch by Vladimir, but expanded to more places - also adds some tests for it."
9af5fab814bf48606a3a1ef780a148f9a79d7d53,,,"Fix for JRUBY-1807, clean up 14 out of 19 rubinius Time specs. Path by Vladimir."
98b77c5e346c42c69c6c08d228b0d3aeb8b596e9,2,JRUBY-1765,"Fix for JRUBY-1765, make scanner handle hashes in tag uris, also, make creation of dates handle negative years."
3a59dd7e8203e6a0b4d488ee634c8fdf3e74b4ab,,,"Fixes for JRUBY-2156 and JRUBY-2154, make sure that Readline is actually using the same streams as the rest of that Ruby session, meaning it can't really be singleton anymore"
29e83ce9715cc35b1ed1b7272776648ec86122c7,,,Reverting fix from Ola for JRUBY-2156 and JRUBY-2154 to find a solution that doesn't break windows readline.
7de6594072a7c0ef3377c9520d0a3f65d32173e0,,,A bit more cleanup for ProcMethod and define_method-related code like Proc#call. JRUBY-1387
02b11294262202ac1f5a63a8984fe693927acb94,,,Partial fix for JRUBY-2667: Plenty of new StringScanner failures for JRuby.* This fixes 7 out of 10 rubyspec failures for StringScanner.
8014dd53c62c6a1f316a5d12ab962a6eca9200bf,,,- JRUBY-2742: Major code duplication in BAT files- Additional fix for JRUBY-2720: 3rd party library can't get class loader
feb5cf7cd62a7a31b2623bbe21bc5515b2e978cb,,,Add an EventHook test from JRUBY-2962: Patch containing regression test for line number argument for EventHook
