HASH,num partitions,bug references,message
2a27042b634e5b8416f46b3329be319f0ee24d0d,2,,XSTR-48: Converters for BigInteger and BigDecimal. XSTR-49: IntConverter uses decode so it can deal with hex/octal representations.
43004aab500f3c8aa6a1d723589b14fb856b3ef9,2,"XSTR-93, XSTR-170","XSTR-93, XSTR-120, XSTR-170: Support for \r newline in strings."
aa9cc54c06a56137467e8e19ea9cc1bd916b634b,2,XSTR-178,XSTR-179: Support for ObjectInputStream.registerValidation(ObjectInputValidation). XSTR-178: Serialized inner class now maintains reference to outer class.
fb5010bf7ce0516dc37dbb853e49921743dfd914,2,"XSTR-247, XSTR-246",Fix TimeZone for ISODateFormat (XSTR-247). Support Nanos for ISOSqlTimestamp (sequel XSTR-246). Update joda. Add ISOGregorianCalendar.
74ed4ebc47ddf93a9278c41910254501313c230d,2,"XSTR-276, XSTR-283",Real nasty show cases for XSTR-276 and XSTR-283.
dd4da2c6f7b9b14cac8c6ae1776b432f83048487,2,XSTR-244,Added new StatefulWriter as general solution for XSTR-244 and preparation for XSTR-276 and XSTR-283.
ec922fc1dcc556c5518eee6c90b90c8cb96ded5a,2,"XSTR-276, XSTR-283",Resolve references to implicit collections (XSTR-276 and XSTR-283). Factor out AbstractReference(Un)Marshaller.
5cb67817f7bfd9edad1159ffea4ab796c555ad9f,2,,XStream detects if it serializes itself (XSTR-286). Preparation for serialization of XStream itself (XSTR-50).
d16c03ac2d3c74e1d52c580ac0b56bdc6776ebe8,3,,Implement the DocumentWriter for all DOM writer impls (XSTR-349). Introduce DocumentReader for DOm reader impls. Add hashCode and equals to Xpp3Dom.
4574b194db9370f85487e9cda3fc57caa9c5151a,2,,Add unit tests for DocumentWriter impls (XSTR-349). Revert Xpp3Dom.
b5f6ad9efc46866a4d3d1451f48fdf94254bd987,2,,Fix serialized DecimalFormatSymbols for JDK 6 in XmlFriendyTest (XSTR-370). Introduce JDK 6 support in JVM class.
5bf371683deabf6170f20ca508189c04310a76ff,2,,"Better JSON test for sets, fixes invariant on JDK 6 (XSTR-370) and JDK 1.3."
e1933b44cb4c07fc367b543c6e53469b6e03e627,2,,Fix XML header in StaxTests for JDK 6 (XSTR-370). Remove obsolete StaxWriterTest.
a8e7a68af99cf91b59ff5f04d6b697ebcb35e194,2,,"Make JDK 6 buildable (XSTR-370), improve compatibility for different StaX implementations."
e804238dbc4dd56472c35baa097a7bfee879602e,2,XSTR-404,Updating changes.html according to xstr-404 and related issue
f7645ebabc9f3cad6924d007041fadfb860867ef,2,XSTR-280,Support omitField for SerializableConverter (XSTR-280). Support aliases attribute names for SerializableConverter.
a70b09de41cb8c9c65edf5cca41f1a5b2efd154a,2,"XSTR-421, XSTR-426",Implement SingleValueConverter for CharacterConverter (XSTR-421). Handle characters not defined in unicode fixing bug XSTR-426.
7ba79cf4b1d6a8a6fdf8ea559cdf7526a0dcc808,2,"XSTR-421, XSTR-426",Implement SingleValueConverter for CharacterConverter (XSTR-421). Handle characters not defined in unicode fixing bug XSTR-426.
7ad3ad875faec852264b2e91fe949961fc140d34,4,XSTR-420,XPath expressions used in references are now also XML-friendly encoded to match the real XML path (XSTR-420). Added XmlFriendlyReader and XmlFriendlyWriter interfaces to access the functionality of the XmlFriendlyReplacer. Added compatibility test case for XStream 1.2.x. Factored out an abstract TreeMarshallingStrategy with an easy possibility to overload the creation of the contexts.
034aeb6217551c8f724b8fcfb482978dc9340fcf,2,"XSTR-463, XSTR-464",Default Mapper chain can now be build as custom Mapper chain (XSTR-463). ClassLoader can be provided for initial phase of XStream (XSTR-464).
